rule,type,accuracy,severity,fixability,applicability,configuration,conflicts,total
PYI044,Stable,2,1,2,1,2,2,
PYI045,Stable,2,1,0,2,2,2,
PYI046,Stable,2,2,0,2,2,2,
PYI047,Stable,2,2,0,2,2,2,
PYI048,Stable,2,1,0,1,2,2,
PYI049,Stable,2,2,0,2,2,2,
PYI050,Stable,2,0,0,2,2,2,
PYI051,Stable,2,1,0,2,2,2,
PYI052,Stable,2,1,0,1,2,2,
PYI053,Stable,2,0,2,1,2,2,
PYI054,Stable,2,0,2,1,2,2,
PYI055,Stable,2,0,2,2,2,2,
PYI056,Stable,2,1,0,2,2,2,
PYI057,Stable,2,2,0,2,2,2,
PYI058,Stable,2,1,2,2,2,2,
PYI059,Stable,2,2,2,2,2,2,
PYI061,Stable,2,1,2,2,2,2,
PYI062,Stable,2,2,2,2,2,2,
PYI063,Stable,2,1,0,2,2,2,
PYI064,Stable,2,1,2,2,2,2,
PYI066,Stable,2,1,0,1,2,2,
PT001,Stable,2,0,2,1,1,2,
PT002,Stable,2,0,0,1,2,2,
PT003,Stable,2,0,2,1,2,2,
PT004,Removed,2,0,0,1,2,2,
PT005,Removed,2,0,0,1,2,2,
PT006,Stable,2,0,2,1,1,2,
PT007,Stable,2,0,2,1,1,2,
PT008,Stable,2,0,0,1,2,2,
PT009,Stable,2,1,2,2,2,2,
PT010,Stable,2,2,0,1,2,2,
PT011,Stable,2,1,0,1,1,2,
PT012,Stable,2,2,0,1,2,2,
PT013,Stable,2,0,0,1,2,2,
PT014,Stable,2,2,2,1,2,2,
PT015,Stable,2,1,0,1,2,2,
PT016,Stable,2,1,0,1,2,2,
PT017,Stable,2,1,0,1,2,2,
PT018,Stable,2,1,2,1,2,2,
PT019,Stable,0,1,0,1,2,2,
PT020,Stable,2,2,0,1,2,2,
PT021,Stable,2,1,0,1,2,2,
PT022,Stable,2,1,2,1,2,2,
PT023,Stable,2,0,2,1,1,2,
PT024,Stable,2,1,2,1,2,2,
PT025,Stable,2,2,2,1,2,2,
PT026,Stable,2,2,2,1,2,2,
PT027,Stable,2,1,2,2,2,2,
PT028,Stable,2,2,0,1,2,2,
PT029,Preview,2,2,0,1,2,2,
PT030,Stable,2,1,0,1,1,2,
PT031,Stable,2,2,0,1,2,2,
Q000,Stable,2,0,2,2,1,1,
Q001,Stable,2,0,2,2,1,1,
Q002,Stable,2,0,2,2,1,1,
Q003,Stable,2,1,2,2,1,1,
Q004,Stable,2,1,2,2,2,1,
RSE102,Stable,2,0,2,2,2,2,
RET501,Stable,2,0,2,2,2,2,
RET502,Stable,2,0,2,2,2,2,
RET503,Stable,1,0,2,2,2,2,
RET504,Stable,1,0,2,2,2,2,
RET505,Stable,1,0,2,2,2,2,
RET506,Stable,1,0,2,2,2,2,
RET507,Stable,1,0,2,2,2,2,
RET508,Stable,1,0,2,2,2,2,
SLF001,Stable,0,1,0,2,1,2,
SIM101,Stable,2,1,2,2,2,2,
SIM102,Stable,2,1,2,2,1,2,
SIM103,Stable,2,1,2,2,2,2,
SIM105,Stable,2,0,2,2,2,2,
SIM107,Stable,2,2,0,2,2,2,
SIM108,Stable,2,0,2,2,1,2,
SIM109,Stable,2,0,2,2,2,2,
SIM110,Stable,2,1,2,2,1,2,
SIM112,Stable,2,0,2,2,2,2,
SIM113,Stable,2,1,0,2,2,2,
SIM114,Stable,2,1,2,2,2,2,
SIM115,Stable,2,1,0,2,2,2,
SIM116,Stable,2,0,0,2,2,2,
SIM117,Stable,2,1,2,2,1,2,
SIM118,Stable,1,1,2,2,2,2,
SIM201,Stable,2,1,2,2,2,2,
SIM202,Stable,2,1,2,2,2,2,
SIM208,Stable,2,1,2,2,2,2,
SIM210,Stable,2,1,2,2,2,2,
SIM211,Stable,2,1,2,2,2,2,
SIM212,Stable,2,1,2,2,2,2,
SIM220,Stable,2,1,2,2,2,2,
SIM221,Stable,2,1,2,2,2,2,
SIM222,Stable,2,1,2,2,2,2,
SIM223,Stable,2,1,2,2,2,2,
SIM300,Stable,2,0,2,2,2,2,
SIM401,Stable,2,1,2,2,1,2,
SIM905,Stable,2,1,2,2,2,2,
SIM910,Stable,2,1,2,2,2,2,
SIM911,Stable,2,1,2,2,2,2,
SLOT000,Stable,2,1,0,2,2,2,
SLOT001,Stable,2,1,0,2,2,2,
SLOT002,Stable,2,1,0,2,2,2,
TID251,Stable,2,0,0,2,0,2,
TID252,Stable,1,1,2,2,1,2,
TID253,Stable,2,0,0,2,0,2,
TD001,Stable,2,0,0,2,2,2,
TD002,Stable,2,0,0,2,2,2,
TD003,Stable,1,0,0,2,2,2,
TD004,Stable,2,0,0,2,2,2,
TD005,Stable,1,0,0,2,2,2,
TD006,Stable,2,0,2,2,2,2,
TD007,Stable,2,0,0,2,2,2,
TC001,Stable,1,1,2,2,1,2,
TC002,Stable,1,1,2,2,1,2,
TC003,Stable,2,1,2,2,1,2,
TC004,Stable,2,2,2,2,1,2,
TC005,Stable,2,1,2,2,2,2,
TC006,Stable,2,0,2,2,2,2,
TC007,Stable,2,2,2,2,2,2,
TC008,Preview,1,1,2,2,2,2,
TC010,Stable,2,2,0,2,2,2,
ARG001,Stable,2,2,0,2,1,2,
ARG002,Stable,2,2,0,2,1,2,
ARG003,Stable,2,2,0,2,1,2,
ARG004,Stable,2,2,0,2,1,2,
ARG005,Stable,2,2,0,2,1,2,
PTH100,Stable,2,1,2,2,2,2,
PTH101,Stable,2,1,2,2,2,2,
PTH102,Stable,2,1,2,2,2,2,
PTH103,Stable,2,1,2,2,2,2,
PTH104,Stable,2,1,2,2,2,2,
PTH105,Stable,2,1,2,2,2,2,
PTH106,Stable,2,1,2,2,2,2,
PTH107,Stable,2,1,2,2,2,2,
PTH108,Stable,2,1,2,2,2,2,
PTH109,Stable,2,1,2,2,2,2,
PTH110,Stable,2,1,2,2,2,2,
PTH111,Stable,2,1,2,2,2,2,
PTH112,Stable,2,1,2,2,2,2,
PTH113,Stable,2,1,2,2,2,2,
PTH114,Stable,2,1,2,2,2,2,
PTH115,Stable,2,1,2,2,2,2,
PTH116,Stable,2,1,0,2,2,2,
PTH117,Stable,2,1,2,2,2,2,
PTH118,Stable,2,1,0,2,2,2,
PTH119,Stable,2,1,2,2,2,2,
PTH120,Stable,2,1,2,2,2,2,
PTH121,Stable,2,1,2,2,2,2,
PTH122,Stable,2,1,0,2,2,2,
PTH123,Stable,2,1,2,2,2,2,
PTH124,Stable,2,2,0,0,2,2,
PTH201,Stable,2,1,2,2,2,2,
PTH202,Stable,2,1,2,2,2,2,
PTH203,Stable,2,1,2,2,2,2,
PTH204,Stable,2,1,2,2,2,2,
PTH205,Stable,2,1,2,2,2,2,
PTH206,Stable,2,1,0,2,2,2,
PTH207,Stable,2,1,0,2,2,2,
PTH208,Stable,2,1,0,2,2,2,
PTH210,Stable,2,2,2,2,2,2,
PTH211,Stable,2,1,2,2,2,2,
FLY002,Stable,2,1,2,2,2,2,
I001,Stable,1,0,2,2,1,2,
I002,Stable,2,0,2,2,0,2,
C901,Stable,2,0,0,2,1,2,
NPY001,Stable,2,2,2,0,2,2,
NPY002,Stable,2,2,0,0,2,2,
NPY003,Stable,2,2,2,0,2,2,
NPY201,Stable,2,2,2,0,2,2,
N801,Stable,2,1,0,2,1,2,
N802,Stable,2,1,0,2,1,2,
N803,Stable,2,1,0,2,1,2,
N804,Stable,2,1,2,2,1,2,
N805,Stable,2,1,2,2,1,2,
N806,Stable,2,1,0,2,1,2,
N807,Stable,2,1,0,2,1,2,
N811,Stable,2,1,0,2,1,2,
N812,Stable,2,1,0,2,1,2,
N813,Stable,2,1,0,2,1,2,
N814,Stable,2,1,0,2,1,2,
N815,Stable,2,1,0,2,1,2,
N816,Stable,2,1,0,2,1,2,
N817,Stable,2,1,0,2,1,2,
N818,Stable,2,1,0,2,1,2,
N999,Stable,2,1,0,2,1,2,
PD002,Stable,1,1,2,0,2,2,
PD003,Stable,1,0,0,0,2,2,
PD004,Stable,1,0,0,0,2,2,
PD007,Stable,1,2,0,0,2,2,
PD008,Stable,1,1,0,0,2,2,
PD009,Stable,1,1,0,0,2,2,
PD010,Stable,1,1,0,0,2,2,
PD011,Stable,1,1,0,0,2,2,
PD012,Stable,2,1,0,0,2,2,
PD013,Stable,1,1,0,0,2,2,
PD015,Stable,2,1,0,0,2,2,
PD101,Stable,1,1,0,0,2,2,
PD901,Removed,0,0,0,0,2,2,
PERF101,Stable,2,1,2,2,2,2,
PERF102,Stable,2,1,2,2,2,2,
PERF203,Stable,2,1,0,2,1,2,
PERF401,Stable,2,1,2,2,2,2,
PERF402,Stable,2,1,0,2,2,2,
PERF403,Stable,2,1,2,2,2,2,
E101,Stable,2,0,0,2,2,1,
E111,Preview,2,1,0,2,1,1,
E112,Preview,2,2,0,2,2,2,
E113,Preview,2,2,0,2,2,2,
E114,Preview,2,1,0,2,1,1,
E115,Preview,2,1,0,2,2,1,
E116,Preview,2,1,0,2,2,1,
E117,Preview,2,1,0,2,2,1,
E201,Preview,2,1,2,2,2,1,
E202,Preview,2,1,2,2,2,1,
E203,Preview,2,1,2,2,2,1,
E204,Preview,2,1,2,2,2,1,
E211,Preview,2,1,2,2,2,1,
E221,Preview,2,1,2,2,2,1,
E222,Preview,2,1,2,2,2,1,
E223,Preview,2,1,2,2,2,1,
E224,Preview,2,1,2,2,2,1,
E225,Preview,2,1,2,2,2,1,
E226,Preview,2,1,2,2,2,1,
E227,Preview,2,1,2,2,2,1,
E228,Preview,2,1,2,2,2,1,
E231,Preview,2,1,2,2,2,1,
E241,Preview,2,1,2,2,2,1,
E242,Preview,2,1,2,2,2,1,
E251,Preview,2,1,2,2,2,1,
E252,Preview,2,1,2,2,2,1,
E261,Preview,2,1,2,2,2,1,
E262,Preview,2,1,2,2,2,1,
E265,Preview,2,1,2,2,2,1,
E266,Preview,2,1,2,2,2,2,
E271,Preview,2,1,2,2,2,1,
E272,Preview,2,1,2,2,2,1,
E273,Preview,2,1,2,2,2,1,
E274,Preview,2,1,2,2,2,1,
E275,Preview,2,1,2,2,2,1,
E301,Preview,2,1,2,2,2,1,
E302,Preview,2,1,2,2,1,1,
E303,Preview,2,1,2,2,1,1,
E304,Preview,2,1,2,2,2,1,
E305,Preview,2,1,2,2,2,1,
E306,Preview,2,1,2,2,2,1,
E401,Stable,2,1,2,2,2,2,
E402,Stable,2,1,0,2,2,2,
E501,Stable,2,1,0,2,1,1,
E502,Preview,2,1,2,2,2,1,
E701,Stable,2,1,0,2,2,1,
E702,Stable,2,1,0,2,2,1,
E703,Stable,2,1,2,2,2,1,
E711,Stable,2,1,2,2,2,2,
E712,Stable,2,1,2,2,2,2,
E713,Stable,2,1,2,2,2,2,
E714,Stable,2,1,2,2,2,2,
E721,Stable,2,1,0,2,2,2,
E722,Stable,2,2,0,2,2,2,
E731,Stable,2,1,1,2,2,2,
E741,Stable,2,1,0,2,2,2,
E742,Stable,2,1,0,2,2,2,
E743,Stable,2,1,0,2,2,2,
E902,Stable,2,2,0,2,2,2,
E999,Removed,2,2,0,2,2,2,
W191,Stable,2,1,0,2,2,0,
W291,Stable,2,1,2,2,2,1,
W292,Stable,2,1,2,2,2,1,
W293,Stable,2,1,2,2,2,1,
W391,Preview,2,1,2,2,2,1,
W505,Stable,2,1,0,2,1,2,
W605,Stable,2,2,2,2,2,2,
DOC102,Preview,2,0,0,2,1,2,
DOC201,Preview,2,0,0,2,1,2,
